@relation PowerConsumption-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute hour numeric
@attribute amps_avg numeric
@attribute kw_avg numeric

@data
0,0.266476,35.688333
0,0.340974,42.665
0,0.309456,39.713333
0,0.30086,38.908333
0,0.157592,25.491667
0,0.126074,22.54
0,0.111748,21.198333
0,0.131804,23.076667
0,0.160458,25.76
0,0.212034,30.59
0,0.297994,38.64
0,0.266476,35.688333
0,0.197708,29.248333
0,0.143266,24.15
0,0.169054,26.565
0,0.174784,27.101667
0,0.174784,27.101667
0,0.275072,36.493333
0,0.22636,31.931667
0,0.22063,31.395
0,0.255014,34.615
0,0.260744,35.151667
0,0.232092,32.468333
0,0.137536,23.613333
0,0.108882,20.93
0,0.157592,25.491667
0,0.194842,28.98
0,0.246418,33.81
0,0.275072,36.493333
0,0.272206,36.225
0,0.206304,30.053333
0,0.197708,29.248333
0,0.174784,27.101667
0,0.137536,23.613333
0,0.22636,31.931667
0,0.223496,31.663333
0,0.266476,35.688333
0,0.272206,36.225
0,0.31232,39.981667
0,0.13467,23.345
0,0.12894,22.808333
0,0.166188,26.296667
0,0.169054,26.565
0,0.217764,31.126667
0,0.246418,33.81
0,0.232092,32.468333
0,0.200572,29.516667
0,0.191976,28.711667
0,0.169054,26.565
0,0.191976,28.711667
0,0.174784,27.101667
0,0.26934,35.956667
0,0.34957,43.47
0,0.26361,35.42
0,0.174784,27.101667
0,0.22063,31.395
0,0.237822,33.005
0,0.217764,31.126667
0,0.212034,30.59
0,0.189112,28.443333
0.043478,0.174784,27.101667
0.043478,0.166188,26.296667
0.043478,0.180516,27.638333
0.043478,0.217764,31.126667
0.043478,0.163324,26.028333
0.043478,0.154728,25.223333
0.043478,0.232092,32.468333
0.043478,0.234956,32.736667
0.043478,0.234956,32.736667
0.043478,0.303724,39.176667
0.043478,0.280802,37.03
0.043478,0.280802,37.03
0.043478,0.295128,38.371667
0.043478,0.209168,30.321667
0.043478,0.1404,23.881667
0.043478,0.169054,26.565
0.043478,0.191976,28.711667
0.043478,0.275072,36.493333
0.043478,0.31232,39.981667
0.043478,0.286532,37.566667
0.043478,0.22636,31.931667
0.043478,0.295128,38.371667
0.043478,0.212034,30.59
