hour;minute;amps_avg;kw_avg
3;55;0.092167;21.198333
3;56;0.092167;21.198333
3;57;0.1225;28.175
3;58;0.144667;33.273333
3;59;0.141167;32.468333
4;0;0.156333;35.956667
4;1;0.154;35.42
4;2;0.1225;28.175
4;3;0.117833;27.101667
4;4;0.14;32.2
4;5;0.1365;31.395
4;6;0.161;37.03
4;7;0.154;35.42
4;8;0.162167;37.298333
4;9;0.151667;34.883333
4;10;0.110833;25.491667
4;11;0.084;19.32
4;12;0.051333;11.806667
4;13;0.07;16.1
4;14;0.110833;25.491667
4;15;0.1435;33.005
4;16;0.1575;36.225
4;17;0.163333;37.566667
4;18;0.182;41.86
4;19;0.134167;30.858333
4;20;0.131833;30.321667
4;21;0.096833;22.271667
4;22;0.1085;24.955
4;23;0.142333;32.736667
4;24;0.142333;32.736667
4;25;0.141167;32.468333
4;26;0.120167;27.638333
4;27;0.093333;21.466667
4;28;0.106167;24.418333
4;29;0.117833;27.101667
4;30;0.102667;23.613333
4;31;0.128333;29.516667
4;32;0.145833;33.541667
4;33;0.170333;39.176667
4;34;0.1925;44.275
4;35;0.149333;34.346667
4;36;0.1225;28.175
4;37;0.1155;26.565
4;38;0.113167;26.028333
4;39;0.096833;22.271667
4;40;0.130667;30.053333
4;41;0.144667;33.273333
4;42;0.148167;34.078333
4;43;0.161;37.03
4;44;0.130667;30.053333
4;45;0.110833;25.491667
4;46;0.1505;34.615
4;47;0.149333;34.346667
4;48;0.1785;41.055
4;49;0.168;38.64
4;50;0.147;33.81
4;51;0.131833;30.321667
4;52;0.096833;22.271667
4;53;0.075833;17.441667
4;54;0.106167;24.418333
4;55;0.124833;28.711667
4;56;0.134167;30.858333
4;57;0.172667;39.713333
4;58;0.144667;33.273333
4;59;0.126;28.98
5;0;0.137667;31.663333
5;1;0.148167;34.078333
5;2;0.172667;39.713333
5;3;0.152833;35.151667
5;4;0.131833;30.321667
5;5;0.123667;28.443333
5;6;0.112;25.76
5;7;0.103833;23.881667
5;8;0.117833;27.101667
5;9;0.102667;23.613333
5;10;0.106167;24.418333
5;11;0.127167;29.248333
5;12;0.120167;27.638333
5;13;0.0945;21.735
5;14;0.117833;27.101667
5;15;0.172667;39.713333
5;16;0.180833;41.591667
5;17;0.182;41.86
5;18;0.110833;25.491667
5;19;0.086333;19.856667
5;20;0.096833;22.271667
5;21;0.089833;20.661667
5;22;0.128333;29.516667
5;23;0.142333;32.736667
5;24;0.133;30.59
5;25;0.119;27.37
5;26;0.114333;26.296667
5;27;0.093333;21.466667
5;28;0.109667;25.223333
5;29;0.1505;34.615
5;30;0.161;37.03
5;31;0.194833;44.811667
5;32;0.1645;37.835
5;33;0.145833;33.541667
5;34;0.1225;28.175
5;35;0.093333;21.466667
5;36;0.068833;15.831667
5;37;0.0735;16.905
5;38;0.088667;20.393333
5;39;0.107333;24.686667
5;40;0.135333;31.126667
5;41;0.144667;33.273333
5;42;0.168;38.64
5;43;0.1645;37.835
5;44;0.149333;34.346667
5;45;0.142333;32.736667
5;46;0.099167;22.808333
5;47;0.099167;22.808333
5;48;0.163333;37.566667
5;49;0.155167;35.688333
5;50;0.149333;34.346667
5;51;0.147;33.81
5;52;0.075833;17.441667
5;53;0.061833;14.221667
5;54;0.098;22.54
5;55;0.106167;24.418333
5;56;0.145833;33.541667
5;57;0.170333;39.176667
5;58;0.193667;44.543333
5;59;0.182;41.86
6;0;0.149333;34.346667
6;1;0.114333;26.296667
6;2;0.126;28.98
6;3;0.109667;25.223333
6;4;0.128333;29.516667
6;5;0.126;28.98
6;6;0.128333;29.516667
6;7;0.1295;29.785
6;8;0.123667;28.443333
6;9;0.1225;28.175
6;10;0.113167;26.028333
6;11;0.134167;30.858333
6;12;0.1295;29.785
6;13;0.1645;37.835
6;14;0.144667;33.273333
6;15;0.180833;41.591667
6;16;0.180833;41.591667
6;17;0.156333;35.956667
6;18;0.142333;32.736667
6;19;0.095667;22.003333
6;20;0.0805;18.515
6;21;0.1155;26.565
6;22;0.131833;30.321667
6;23;0.126;28.98
6;24;0.142333;32.736667
6;25;0.166833;38.371667
6;26;0.1435;33.005
6;27;0.142333;32.736667
6;28;0.105;24.15
6;29;0.106167;24.418333
6;30;0.149333;34.346667
6;31;0.1575;36.225
6;32;0.142333;32.736667
6;33;0.137667;31.663333
6;34;0.106167;24.418333
6;35;0.1015;23.345
6;36;0.109667;25.223333
6;37;0.102667;23.613333
6;38;0.137667;31.663333
6;39;0.163333;37.566667
6;40;0.156333;35.956667
6;41;0.137667;31.663333
6;42;0.113167;26.028333
6;43;0.117833;27.101667
6;44;0.116667;26.833333
6;45;0.096833;22.271667
6;46;0.110833;25.491667
6;47;0.1155;26.565
6;48;0.135333;31.126667
6;49;0.149333;34.346667
6;50;0.128333;29.516667
6;51;0.099167;22.808333
6;52;0.1295;29.785
6;53;0.135333;31.126667
6;54;0.142333;32.736667
6;55;0.180833;41.591667
6;56;0.152833;35.151667
6;57;0.1435;33.005
6;58;0.1435;33.005
6;59;0.096833;22.271667
7;0;0.081667;18.783333
7;1;0.1015;23.345
7;2;0.116667;26.833333
7;3;0.155167;35.688333
7;4;0.173833;39.981667
7;5;0.165667;38.103333
7;6;0.133;30.59
7;7;0.138833;31.931667
7;8;0.116667;26.833333
7;9;0.130667;30.053333
7;10;0.119;27.37
7;11;0.114333;26.296667
7;12;0.1505;34.615
7;13;0.138833;31.931667
7;14;0.131833;30.321667
7;15;0.116667;26.833333
7;16;0.089833;20.661667
7;17;0.0665;15.295
7;18;0.084;19.32
7;19;0.112;25.76
7;20;0.124833;28.711667
7;21;0.1715;39.445
7;22;0.1855;42.665
7;23;0.191333;44.006667
7;24;0.1505;34.615
7;25;0.092167;21.198333
7;26;0.092167;21.198333
7;27;0.071167;16.368333
7;28;0.081667;18.783333
7;29;0.126;28.98
7;30;0.151667;34.883333
7;31;0.1505;34.615
7;32;0.14;32.2
7;33;0.114333;26.296667
7;34;0.082833;19.051667
7;35;0.1225;28.175
7;36;0.135333;31.126667
7;37;0.152833;35.151667
7;38;0.1645;37.835
7;39;0.1505;34.615
7;40;0.149333;34.346667
7;41;0.131833;30.321667
7;42;0.106167;24.418333
7;43;0.085167;19.588333
7;44;0.105;24.15
7;45;0.103833;23.881667
7;46;0.1295;29.785
7;47;0.151667;34.883333
7;48;0.138833;31.931667
7;49;0.1645;37.835
7;50;0.198333;45.616667
7;51;0.186667;42.933333
7;52;0.124833;28.711667
7;53;0.119;27.37
7;54;0.098;22.54
7;55;0.116667;26.833333
7;56;0.137667;31.663333
7;57;0.1645;37.835
7;58;0.1715;39.445
7;59;0.124833;28.711667
8;0;0.124833;28.711667
8;1;0.106167;24.418333
8;2;0.107333;24.686667
8;3;0.114333;26.296667
8;4;0.163333;37.566667
8;5;0.172667;39.713333
8;6;0.169167;38.908333
8;7;0.161;37.03
8;8;0.135333;31.126667
8;9;0.109667;25.223333
8;10;0.0945;21.735
8;11;0.079333;18.246667
8;12;0.116667;26.833333
8;13;0.131833;30.321667
8;14;0.133;30.59
8;15;0.130667;30.053333
8;16;0.113167;26.028333
8;17;0.1015;23.345
8;18;0.117833;27.101667
8;19;0.109667;25.223333
8;20;0.091;20.93
8;21;0.14;32.2
8;22;0.133;30.59
8;23;0.14;32.2
8;24;0.138833;31.931667
8;25;0.126;28.98
8;26;0.114333;26.296667
8;27;0.1085;24.955
8;28;0.095667;22.003333
8;29;0.1225;28.175
8;30;0.131833;30.321667
8;31;0.163333;37.566667
8;32;0.1575;36.225
8;33;0.135333;31.126667
8;34;0.093333;21.466667
8;35;0.081667;18.783333
8;36;0.089833;20.661667
8;37;0.127167;29.248333
8;38;0.151667;34.883333
8;39;0.144667;33.273333
8;40;0.1435;33.005
8;41;0.126;28.98
8;42;0.086333;19.856667
8;43;0.089833;20.661667
8;44;0.103833;23.881667
8;45;0.175;40.25
8;46;0.179667;41.323333
8;47;0.163333;37.566667
8;48;0.124833;28.711667
8;49;0.079333;18.246667
8;50;0.060667;13.953333
8;51;0.096833;22.271667
8;52;0.1995;45.885
8;53;0.1645;37.835
8;54;0.180833;41.591667
8;55;0.170333;39.176667
8;56;0.1435;33.005
8;57;0.148167;34.078333
8;58;0.131833;30.321667
8;59;0.142333;32.736667
9;0;0.142333;32.736667
9;1;0.124833;28.711667
9;2;0.107333;24.686667
9;3;0.113167;26.028333
9;4;0.1225;28.175
9;5;0.133;30.59
9;6;0.126;28.98
9;7;0.106167;24.418333
9;8;0.099167;22.808333
9;9;0.086333;19.856667
9;10;0.119;27.37
9;11;0.148167;34.078333
9;12;0.186667;42.933333
9;13;0.203;46.69
9;14;0.204167;46.958333
9;15;0.119;27.37
9;16;0.075833;17.441667
9;17;0.064167;14.758333
9;18;0.085167;19.588333
9;19;0.137667;31.663333
9;20;0.154;35.42
9;21;0.1645;37.835
9;22;0.170333;39.176667
9;23;0.138833;31.931667
9;24;0.095667;22.003333
9;25;0.082833;19.051667
9;26;0.137667;31.663333
9;27;0.175;40.25
9;28;0.200667;46.153333
9;29;0.190167;43.738333
9;30;0.158667;36.493333
9;31;0.110833;25.491667
9;32;0.0665;15.295
9;33;0.078167;17.978333
9;34;0.067667;15.563333
9;35;0.082833;19.051667
9;36;0.131833;30.321667
9;37;0.127167;29.248333
9;38;0.14;32.2
9;39;0.165667;38.103333
9;40;0.170333;39.176667
9;41;0.144667;33.273333
9;42;0.1505;34.615
9;43;0.096833;22.271667
9;44;0.1155;26.565
9;45;0.120167;27.638333
9;46;0.1365;31.395
9;47;0.135333;31.126667
9;48;0.092167;21.198333
9;49;0.092167;21.198333
9;50;0.088667;20.393333
9;51;0.0735;16.905
9;52;0.096833;22.271667
9;53;0.152833;35.151667
9;54;0.175;40.25
9;55;0.184333;42.396667
